,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
2457,Violet Petite Workwear Mini Dress,"6,600","6,600",NaN,0,Formal,Blended Fabric,Solid/Plain,Zipper,Normal,Sleeveless,Mini,N/A,Round Neck,Forever New Apparels Pvt Ltd_parent,China
2458,Claret Red Overlap Jumpsuit,"5,299","5,035",NaN,0,Party,Crepe,Solid/Plain,Zipper,Tailored,Sleeveless,Jumpsuits,N/A,Square Neck,Binfinite And Vara Lifestyle Private Limited,India
2459,Olinda Crop Satin Twist Blouse,"4,200","2,195",NaN,0,Party,Satin,Solid/Plain,Slip On,Normal,Full Sleeves,Regular,N/A,V-Neck,Forever New Apparels Pvt Ltd_parent,China
2460,Women Casual Beige Colour Maxi Floral Dress,"2,599","1,274",4.4,4.4,Casual,Georgette,Floral,Tie-Ups,Comfortable,Puff Sleeves,Maxi,N/A,Off Shoulder,Epic Brands Pvt Ltd,India
2461,Work Multicolor Floral Printed Collar Wide Leg Jumpsuit,"3,295","2,142",4.4,4.4,Casual,Polyester,Printed,Front Closure,Comfortable,Half Sleeves,Jumpsuits,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
2462,Womens Peach Hooded Short Polyester Solid Crop Regular Co-Ord (Set of 2),"4,995","1,998",5.0,5.0,Travel,Polyester,Solid/Plain,Zipper,Comfortable,Half Sleeves,N/A,N/A,Hooded,Chase Lifestyle Private Limited_parent,India
2463,Livin Cutout Detail Dress - Black,"2,995","2,097",4.7,4.7,Party,Polyester,Solid/Plain,Pull On,Super Slim,Sleeveless,Midi,N/A,High Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
2464,Madison Pleated Plisse Mini Dress,"9,400","6,895",NaN,0,Party,Blended Fabric,Pleated,Slip On,A-Line,Full Sleeves,Mini,N/A,V-Neck,Forever New Apparels Pvt Ltd_parent,China
2465,Black Foil Leaf Floaty Midi Dress,"8,599","6,020",NaN,0,Casual,Blended Fabric,Printed,Pull On,Normal,Flared Sleeves,Midi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
2466,Women Light Blue Polo Neck Rib Knit Crop Top,"1,199",636,3.6,3.6,Casual,Cotton,Solid/Plain,Pull On,Normal,Half Sleeves,Crop Tops,N/A,Collar Neck,Mensa Brands Technologies Pvt. Limited_parent,India
2467,Black Floral Smocked Wrap Top,"1,950",683,3.8,3.8,Casual,Georgette,Floral,Slip On,Normal,Half Sleeves,Regular,N/A,Off Shoulder,High Street Essentials Private Limited_mp,India
2468,Blue Pure Linen Full Sleeves Plain Spread Collar Shirt,"2,999","2,550",4.3,4.3,Work,Linen,Solid/Plain,Button Fly,Normal,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,Bangladesh
2469,Black Asymmetrical Knotted Skirt,"2,890","2,023",4.9,4.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cacti Designs Pvt Ltd,India
