,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
438,Women Black Terry Co-ord,"2,399",792,3.9,3.9,Everyday Essentials,Cotton,Typography,Elastic,Comfortable,Sleeveless,N/A,N/A,Round Neck,Rigo International,India
439,Multi-color Double Breasted Tweed Blazer,"3,899","3,081",3.4,3.4,Casual,Polyester,Self Design,Button Fly,Normal,Full Sleeves,Blazer,N/A,Notched Lapel,Premiere Retail Trading Private Limited,China
440,Black A Delightful Surprise Camisole,"1,995","1,596",4.2,4.2,Party,Polyester,Solid/Plain,Back Closure,Comfortable,Sleeveless,N/A,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,India
441,Satin Draped Detail A-Line Dress - Purple,"3,995","2,797",3.2,3.2,Party,Satin,Solid/Plain,Zipper,Comfortable,Full Sleeves,Midi,N/A,V-Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
442,Floral Print Midi Dress,"7,999","7,200",NaN,0,Party,Polyester,Printed,Button Fly,Normal,Balloon Sleeve,Midi,N/A,Round Neck,Nykaa Fashion Pvt Ltd,United Arab Emirates
443,Olive Puff Style Calf Length Dress,"2,899","1,595",4.0,4.0,Party,Chiffon,Solid/Plain,Zip,Gathered,Half Sleeves,Midi,N/A,Boat Neck,Mish Desings Limited,India
444,Black Pancy Skater Mini Dress (Set of 2),"2,590","1,295",3.9,3.9,Evening,Polyester,Floral,Pull On,Normal,N/A,Mini,N/A,V-Neck,Future Style Lab Limited_gurgaon,India
445,Stunner Party Dress,"2,999","2,400",3.1,3.1,Evening,Sequin,Embellished/Sequined,Zip,Fitted,Sleeveless,Mini,N/A,Sweetheart,Samshek Fashion Pvt Ltd_mp,India
446,Light Blue Wide Leg Pants,"2,295","1,492",4.1,4.1,Casual,Rayon,Solid/Plain,Side Closure,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
447,Glimmer Ling 2 Piece Skirt (Set of 2),"4,999","4,999",NaN,0,Party,Cotton,Embellished/Sequined,Zipper,Normal,Sleeveless,N/A,N/A,Round Neck,Miakee,India
448,Teal The Green Co-ord (Set of 2),"5,880","5,880",NaN,0,Festive,Poplin,Printed,Button Fly,Comfortable,Three Fourth Sleeves,N/A,N/A,Collar Neck,Radharaman,India
449,Satin Floral Knotted Split Midi Dress,"3,599","3,599",NaN,0,Party,Satin,Floral,Zipper,Regular,Sleeveless,Midi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
450,Lavendare Pink Crochet Lace detail Kurta and Pant GGSKD120 (Set of 2),"5,999","5,100",NaN,0,Festive,Cotton Lurex,Embroidered,Slip On,Comfortable,Three Fourth Sleeves,N/A,N/A,Mandarin Neck,Nykaa Fashion Pvt Ltd,India
451,Essentials+ Embroidery Women's Pants,"2,499","1,419",3.9,3.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Puma Sports India Pvt. Ltd -parent,Bangladesh
452,Satin Solid V-Neck Split Maxi Dress,"3,299","2,145",4.7,4.7,Casual,Satin,Solid/Plain,Slip On,Regular,Sleeveless,Maxi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
453,Teal The Green Maxi Dress,"4,233","4,233",3.4,3.4,Travel,Poplin,Printed,Button Fly,Comfortable,Half Sleeves,Maxi,N/A,Collar Neck,Radharaman,India
454,Women Brown 90s Boyfriend Oversized Corduroy Jacket,"5,999","3,600",4.0,4.0,Casual,Cotton,Solid/Plain,Button Fly,Oversized,Full Sleeves,Jackets,N/A,Collar Neck,Aditya Birla Fashion And Retail Limited_parent,India
455,Satin Halter Knotted Split Midi Dress,"4,199","4,199",4.2,4.2,Party,Satin,Solid/Plain,Tie-Ups,Regular,Sleeveless,Midi,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,China
456,Red V Neck Cut Out Gown,"2,995","2,097",4.4,4.4,Party,Polyester,Solid/Plain,Side Closure,Fitted,Full Sleeves,Maxi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
457,V-neck Beige And Maroon Floral Short Sleeves Casual Dress For Women,"4,299","1,849",3.8,3.8,Festive,Polyester,Floral,Button Fly,Comfortable,Half Sleeves,Maxi,N/A,Round Neck,Astrid Fashions Pvt Ltd,India
458,Womens Navy Blue Skinny High Rise Clean Look Regular Stretchable Denim Jeans,"2,899","1,160",3.8,3.8,Casual,Denim,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Pants Theory Private Limited,India
459,Black Front Open Long Rib Shrug,"1,499",570,4.2,4.2,Casual,Cotton,Solid/Plain,Pull On,Semi-Fit,Full Sleeves,Shrugs,N/A,N/A,Rigo International,India
460,Red Solid Panelled A-line Dress,"1,999","1,550",4.1,4.1,Casual,Polyester,Solid/Plain,Zipper,Normal,Sleeveless,Knee Length,N/A,V-Neck,Arvind Lifestyle Brands Limited-parent,India
461,Women Black Graphic Oversized T-Shirt,"1,199",720,4.1,4.1,Casual,Cotton,Graphic,N/A,Boxy,Half Sleeves,N/A,N/A,Round Neck,Awesomefab Shopping Private Limited,India
462,Ruby Cotton Co-ord Set (Set of 2),"4,000","3,800",3.5,3.5,Resort/Vacation,Cotton,Solid/Plain,Pull On,Normal,Sleeveless,N/A,N/A,Halter Neck,Ordinaree Tribe Private Limited,India
463,Solids Pink Stripes Cotton Women Boyfriend Shirt,"1,999","1,343",3.6,3.6,Casual,Cotton,Stripes,Button Fly,Boxy,Full Sleeves,N/A,N/A,Collar Neck,The Souled Store Private Limited_parent,India
464,Printed V-Neck Fit and Flare Short Sleeves Midi Dress (S),"2,298","1,149",3.2,3.2,Resort/Vacation,Polyester,Printed,Pull On,Normal,Flared Sleeves,Midi,N/A,V-Neck,Sera Group,India
465,High Waist Wide Leg Trousers - Off White,"2,795","2,013",3.9,3.9,Everyday Essentials,Polyester,Solid/Plain,Zip,Regular,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
466,Maroon Fur Hood Knee Length Overcoat,"6,895","4,827",4.9,4.9,Casual,Polyester,Solid/Plain,Front Closure,Comfortable,Full Sleeves,Overcoats,N/A,Notched Lapel,Nykaa Fashion Pvt Ltd,India
467,Women Mauve Drop Needle Rib Knit Co-ord,"2,299",805,4.1,4.1,Everyday Essentials,Cotton,Solid/Plain,Elastic,Comfortable,Half Sleeves,N/A,N/A,Round Neck,Rigo International,India
468,Printed Round Neck Fit and Flare Long Sleeves Knee Length Dress,"2,494","1,247",3.5,3.5,Casual,Polyester,Printed,Pull On,Normal,Full Sleeves,Knee Length,N/A,Round Neck,Sera Group,India
469,Luxe Green Shirt,"3,499","1,120",4.1,4.1,Everyday Essentials,Modal,Solid/Plain,Front Closure,Normal,Full Sleeves,N/A,N/A,Collar Neck,Astrid Fashions Pvt Ltd,India
470,Jules Cowl Dress,"4,999","4,999",3.2,3.2,Casual,Cotton,Printed,Pull On,Tailored,Half Sleeves,Midi,N/A,V-Neck,Fett Brands Pvt Ltd.,India
471,Casual Blouse Top For Women Highly Durable & Comfortable,"2,999",749,3.9,3.9,Casual,Polyester,Printed,Button Fly,Normal,Three Fourth Sleeves,Regular,N/A,Collar Neck,Redtape Limited_parent,Bangladesh
472,Women's White Cotton Blend Gemma Shirt Top,"3,999","3,999",NaN,0,Party,Cotton,Floral,Button Fly,Comfortable,Full Sleeves,Shirts,N/A,Collar Neck,Style Island Pvt. Ltd.,India
473,Orange High Waist Fitted Mini Denim Skirt,"1,895","1,895",4.0,4.0,Casual,Denim,Solid/Plain,Button Fly,Fitted,N/A,Mini,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
474,Red Front Knot Peplum Feminine Frills Top,"1,499",555,3.9,3.9,Casual,Polyester,Solid/Plain,Back Closure,Normal,Full Sleeves,Regular,N/A,V-Neck,Khullar Appearls_parent,India
475,White Wrap Over Tie Waist A Line Midi Dress,"2,499","2,499",3.1,3.1,Work,Polyester,Solid/Plain,Button Fly,Normal,Three Fourth Sleeves,Midi,N/A,Collar Neck,Premiere Retail Trading Private Limited,India
476,Red Edging Towards Style Dress,"1,395","1,116",4.1,4.1,Party,Polyester,Solid/Plain,Slip On,Comfortable,Sleeveless,Mini,N/A,One Shoulder,Nykaa Fashion Pvt Ltd,India
477,Floral Sweetheart Puff Sleeve Ruffle Mini Dress,"4,699","4,699",NaN,0,Party,Chiffon,Floral,Zipper,Regular,Puff Sleeves,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,China
478,Women Solid Black Jacket,"8,299","3,735",4.2,4.2,Casual,Polyester,Solid/Plain,Front Closure,Normal,Full Sleeves,Jackets,N/A,Hooded,Vero Moda Retail Pvt. Ltd_parent,China
479,Plus Size Womens Black Solid Color Ribbed Top & Capri Set (Set of 2),"3,500","2,065",4.2,4.2,Everyday Essentials,Cotton,Solid/Plain,Drawstring,A-Line,Half Sleeves,N/A,N/A,Round Neck,Ashfash Lifestyle,India
480,Kriya Black Shirt,"2,499","2,375",3.3,3.3,Casual,Cotton,Tie & Dye,Front Closure,Comfortable,Flared Sleeves,Shirts,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
481,Black and Yellow Paisley Print Long Sleeves Casual Dress for Women,"3,399","1,666",4.8,4.8,Casual,Polyester,Printed,Pull On,Comfortable,Three Fourth Sleeves,Knee Length,N/A,V-Neck,Astrid Fashions Pvt Ltd,India
482,Lavender Printed Flared Dress,"3,599","1,728",4.4,4.4,Casual,Polyester,Floral,Zipper,A-Line,Bell Sleeves,Midi,N/A,Boat Neck,Power Sutra Clothing Private Limited.,India
483,Chiffon Black Co-ord (Set of 2),"3,550","2,840",3.2,3.2,Party,Chiffon,Solid/Plain,Slip On,Comfortable,Full Sleeves,N/A,N/A,Strapless/Tube,Moh,India
484,Women's Wine Square Neck Short Puff Sleeve Self Design Lace Overlaid Bodycon Midi Dress,"3,395","1,358",4.1,4.1,Party,Lace,Self Design,Zipper,Tapered,Puff Sleeves,Midi,N/A,Square Neck,Chase Lifestyle Private Limited_parent,India
485,Orange & Black Ruffle Basic Jumpsuit,"3,399","1,088",4.7,4.7,Casual,Polyester,Printed,Zipper,Comfortable,Flared Sleeves,Jumpsuits,N/A,Square Neck,Khullar Appearls_parent,India
486,Coral Polka Dot V Neck Jumpsuit,"2,995","1,947",3.7,3.7,Casual,Rayon,Polka Dots,Back Closure,Comfortable,Sleeveless,Jumpsuits,N/A,V-Neck,Nykaa Fashion Pvt Ltd,India
487,Linen Elasticated Straight Fit Pants - Beige,"2,895","2,085",4.2,4.2,Work,Linen,Solid/Plain,Hook and Eye,Straight,N/A,N/A,Mid Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
488,Wine Satin Sheath Dress,"3,890","1,556",3.9,3.9,Party,Satin,Solid/Plain,Zip,Normal,Sleeveless,Maxi,N/A,Cowl Neck,Paccoperri Fashion House Llp.,India
489,Teal Shirt Style Top with Ruffle Detailed,"1,799",990,4.0,4.0,Formal,Georgette,Solid/Plain,Button Fly,Comfortable,Three Fourth Sleeves,N/A,N/A,Ruffled Neck,Mish Desings Limited,India
490,Black Ombre Gradient Sequin Gown,"5,995","5,096",4.3,4.3,Evening,Sequin,Embellished/Sequined,Slip On,Fitted,Sleeveless,Maxi,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
491,Women Mustard Yellow Lace Inserts Top,"1,699",731,4.0,4.0,Casual,Georgette,Solid/Plain,Pull On,Comfortable,Full Sleeves,Regular,N/A,High Neck,Epic Brands Pvt Ltd,India
492,High Rise Mom Fit Jeans,"2,399","2,019",4.9,4.9,Casual,Cotton,Solid/Plain,N/A,Super Slim,N/A,N/A,High Waist,N/A,Arvind Lifestyle Brands Limited-parent,India
493,Midnight Black Skater Dress,"3,799","3,610",3.1,3.1,Party,Crepe,Solid/Plain,Zipper,Tailored,Sleeveless,Mini,N/A,Shoulder Straps,Binfinite And Vara Lifestyle Private Limited,India
494,Off White V- Neck Fitted Dress With Lace Detail,"2,390","1,673",3.1,3.1,Party,Viscose,Solid/Plain,Elastic,Comfortable,N/A,Mini,N/A,N/A,Cacti Designs Pvt Ltd,India
495,Wine Shimmer Side Cutout Sheath Maxi Dress,"3,495","2,447",3.8,3.8,Evening,Polyester,Solid/Plain,Zipper,Comfortable,Full Sleeves,Gown,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
496,Pink Solid Mini Dress,"2,799","2,520",3.2,3.2,Party,Satin,Solid/Plain,Tie-Ups,Normal,Balloon Sleeve,Mini,N/A,Square Neck,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,China
497,Beige Solid Double Breasted Long Overcoat,"6,995","5,596",4.6,4.6,Casual,Wool,Solid/Plain,Front Closure,Comfortable,Full Sleeves,Coats,N/A,Notched Lapel,Nykaa Fashion Pvt Ltd,India
498,Black Solid Knitted Top,"1,399",560,4.5,4.5,Casual,Cotton,Solid/Plain,Pull On,Normal,Full Sleeves,Crop Tops,N/A,Asymmetrical,Khullar Appearls_parent,India
499,Red Floral Print Shirt,"2,899","1,305",4.6,4.6,Casual,Polyester,Printed,Button Fly,Normal,Full Sleeves,N/A,N/A,Mandarin Neck,Vero Moda Retail Pvt. Ltd_parent,India
500,Electric Blue Lapel Collar Solid Mini Dress,"7,995","7,196",NaN,0,Party,Crepe,Solid/Plain,Front Closure,Comfortable,Full Sleeves,Mini,N/A,Notched Lapel,Nykaa Fashion Pvt Ltd,India
501,Pink Halter Mesh Midi Dress,"10,699","10,165",NaN,0,Party,Polyester,Solid/Plain,Pull On,Comfortable,Sleeveless,Midi,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,China
502,Black Embroidered One Shoulder Crop Top,"2,499","1,125",3.1,3.1,Casual,Polyester,Embroidered,Pull On,Skinny,Sleeveless,Crop Tops,N/A,One Shoulder,Vero Moda Retail Pvt. Ltd_parent,India
503,Hawaiian Sun Cotton Dress,"2,600","2,470",NaN,0,Casual,Cotton,Solid/Plain,Back Closure,A-Line,Cap,Maxi,N/A,V-Neck,Ordinaree Tribe Private Limited,India
504,Red Ditsy Floral Smocked Midi Dress,"2,399","2,160",4.2,4.2,Casual,Polyester,Printed,Pull On,Normal,Full Sleeves,Midi,N/A,Square Neck,Femella Fashions Limited_mp,India
505,She Got The Look Off Multi-Color Floral Dress,"1,795","1,257",4.1,4.1,Casual,Polyester,Floral,Back Closure,Comfortable,Balloon Sleeve,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
506,Pink Princess Line Bodycon Knee Length Dress,"1,999",780,3.5,3.5,Casual,Polyester,Solid/Plain,Pull On,A-Line,Half Sleeves,Knee Length,N/A,Round Neck,Purvaja,India
507,Blue Notch Lapel Wrap Front Jumpsuit With Tie Waist,"2,849","2,536",3.8,3.8,Work,Polyester,Solid/Plain,Zipper,Tailored,Three Fourth Sleeves,Jumpsuits,N/A,Notched Lapel,Premiere Retail Trading Private Limited,China
508,Comfortable Lightweight Tracks With Fast-drying Fabric And Zip Opening - Ash Navy Blue,"1,400","1,260",4.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
509,Silky Satin Co-ord (Set of 2),"3,290","3,290",NaN,0,Resort/Vacation,Satin,Solid/Plain,Tie-Ups,Normal,Sleeveless,N/A,N/A,Halter Neck,Miakee,India
510,Women Off-Shoulder Co-ord - Blue (Set of 2),"4,599","3,450",3.3,3.3,Casual,Cotton,Lace,Slip On,Comfortable,Half Sleeves,N/A,N/A,Shoulder Straps,Arsa Enterprises,India
511,Dusty Pink Detachable Hood Solid Cropped Jacket,"4,599","3,002",4.3,4.3,Casual,Polyester,Solid/Plain,Zipper,Normal,Full Sleeves,Jackets,N/A,Hooded,Arvind Lifestyle Brands Limited-parent,India
512,Spread Collar Khaki Solid Three Quarter Sleeves Casual Shirt For Women,"3,699","1,554",4.4,4.4,Casual,Satin,Solid/Plain,Front Closure,Comfortable,Three Fourth Sleeves,Shirts,N/A,Collar Neck,Astrid Fashions Pvt Ltd,India
513,A-Line Printed Dress Blue,"2,399","1,800",4.2,4.2,Casual,Cotton,Floral,Zipper,Comfortable,Three Fourth Sleeves,Knee Length,N/A,Round Neck,Power Sutra Clothing Private Limited.,India
514,Solid Front Cut Basic Jumpsuit,"2,699","1,026",4.1,4.1,Work,Polyester,Solid/Plain,Zipper,Comfortable,Flared Sleeves,Jumpsuits,N/A,V-Neck,Khullar Appearls_parent,India
515,Pink Printed Oversized Short Sleeve T-Shirt,999,450,3.8,3.8,Casual,Cotton,Printed,Slip On,Oversized,Half Sleeves,N/A,N/A,Round Neck,Iki Chic Pvt Ltd,India
516,Ruffle Sleeve Shift Dress- Black,"3,995","2,797",4.5,4.5,Party,Polyester,Solid/Plain,Pull On,Semi-Fit,Three Fourth Sleeves,Knee Length,N/A,Round Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
517,Pink Checked Bodycon Slit Dress,"1,695","1,272",4.6,4.6,Casual,Cotton,Checks,Slip On,Fitted,Sleeveless,Mini,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
518,Black Contrast Flower Embroidery Mini With Inner (Set of 2),"6,975","6,627",3.9,3.9,Party,Georgette,Embellished/Sequined,Slip On,Regular,Half Sleeves,Mini,N/A,V-Neck,Atticsalt Creations Pvt. Ltd.,India
519,Black Knit Midi Pencil Dress,"2,799","1,876",4.0,4.0,Formal,Knitted,Solid/Plain,Zipper,Comfort,Half Sleeves,Knee Length,N/A,Square Neck,Power Sutra Clothing Private Limited.,India
520,Black Solid Bodycon Midi Dress,"1,999",860,3.8,3.8,Evening,Polyester,Solid/Plain,Pull On,Comfortable,Half Sleeves,Midi,N/A,High Neck,Purvaja,India
521,Training top For Gym,750,675,3.9,3.9,Sports,Poly/Spandex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
522,Green & White Floral Print Crepe Co Ords (Set of 2),"3,698","1,406",3.6,3.6,Festive,Polyester,Floral,Slip On,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Nidwait Retail Pvt Ltd,India
523,Rhinestone Embellished Jeans with Side Slit-Blue,"4,790","4,311",3.0,3.0,Party,Denim,Embellished/Sequined,N/A,Tailored,N/A,N/A,High Waist,N/A,Cacti Designs Pvt Ltd,India
524,Wrap Ruffle Hem Ruched Maxi Dress,"4,799","4,799",3.3,3.3,Casual,Satin,Ruched,Pull On,Regular,Sleeveless,Maxi,N/A,V-Neck,Nykaa Fashion Pvt Ltd,China
525,Plus Size Women Black Solid Color Smocked Sheer Peplum Top,"2,000","1,180",3.8,3.8,Casual,Georgette,Solid/Plain,Slip On,Peplum,Three Fourth Sleeves,Regular,N/A,Round Neck,Ashfash Lifestyle,India
526,Yellow And White Striped Square Neck Tie Up Co Ord (Set of 2),"2,795","2,236",4.2,4.2,Casual,Cotton,Stripes,Zipper,Comfortable,Sleeveless,N/A,N/A,Square Neck,Nykaa Fashion Pvt Ltd,India
527,Women Grey Wide Leg High-rise Stretchable Cotton Jeans,"2,099","1,008",4.0,4.0,Casual,Blended Fabric,Solid/Plain,N/A,Comfortable,N/A,N/A,High Waist,N/A,Mensa Brands Technologies Pvt. Limited_parent,India
528,Heidi Pu Biker Jacket,"7,400","7,400",5.0,5.0,Casual,Viscose,Solid/Plain,Zipper,Normal,Full Sleeves,Jackets,N/A,Notched Lapel,Forever New Apparels Pvt Ltd_parent,China
529,Straight Fit Solid Track Pant,999,400,3.2,3.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gunno Apparels Private Limited,India
530,Romona Maxi Dress,"11,399","9,306",NaN,0,Party,Polyester,Solid/Plain,Zipper,Normal,Sleeveless,Maxi,N/A,Asymmetrical,Nykaa Fashion Pvt Ltd,China
531,Animal Print Basic Jumpsuit,"2,199",814,3.7,3.7,Evening,Polyester,Animal Print,Tie-Ups,Comfortable,Full Sleeves,N/A,N/A,V-Neck,Khullar Appearls_parent,India
532,White October 24 Shirt Dress,"3,175","3,175",4.3,4.3,Resort/Vacation,Poplin,Graphic,Button Fly,Relaxed,Three Fourth Sleeves,Mini,N/A,Collar Neck,Radharaman,India
533,Women Green Pure Cotton Solid Oversized Casual Shirt,"1,749",875,3.2,3.2,Party,Cotton,Solid/Plain,Button Fly,Boxy,Full Sleeves,N/A,N/A,Collar Neck,Mensa Brands Technologies Pvt. Limited_parent,India
534,Aruba Skirt White,"6,780","6,780",NaN,0,Party,Blended Fabric,Solid/Plain,Side Closure,Normal,N/A,Maxi,High Waist,N/A,Bouji Apparel Private Limited,India
535,Floral Sweetheart Ruffle Mini Dress,"3,899","3,899",5.0,5.0,Casual,Woven,Floral,Pull On,Regular,Cap,Mini,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,China
536,Basics Pink Solid Ribbed Halter Neck Tshirt,895,761,4.0,4.0,Casual,Viscose,Solid/Plain,N/A,Fitted,Sleeveless,N/A,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,India
537,Women Plus Size Black Straight Fit High-rise Stretchable Jeans,"2,399","1,200",3.9,3.9,Casual,Cotton,Solid/Plain,N/A,Normal,N/A,N/A,High Waist,N/A,Mensa Brands Technologies Pvt. Limited_parent,India
538,Lydia V-Neck Prom Dress,"10,800","6,195",4.8,4.8,Party,Polyester,Solid/Plain,Zipper,Normal,Sleeveless,Midi,N/A,V-Neck,Forever New Apparels Pvt Ltd_parent,Switzerland
539,Pleated High Waist Flared Trousers,"4,199","3,990",NaN,0,Casual,Woven,Solid/Plain,Button Fly,Oversized,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,China
540,Geometric Printed Shirt,"2,199","1,750",4.3,4.3,Work,Polyester,Printed,Button Fly,Normal,Full Sleeves,Shirts,N/A,Notched Lapel,Arvind Lifestyle Brands Limited-parent,India
541,In A Black Mood Pants,"4,995","3,996",3.9,3.9,Evening,Polyester,Solid/Plain,Zip,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
542,Solid Eggplant Co-Ord (Set of 2),"3,700","2,960",3.5,3.5,Festive,Georgette,Solid/Plain,Front Closure,Comfortable,Half Sleeves,N/A,N/A,V-Neck,Moh,India
543,Black Solid Chainlink Strap Tank Top,"1,495","1,196",4.8,4.8,Casual,Viscose,Solid/Plain,Slip On,Fitted,Sleeveless,Vests & Tank Tops,N/A,Scoop Neck,Nykaa Fashion Pvt Ltd,India
544,Round Neck Floral Print Shift Dress Black and Green,"3,195","2,237",3.9,3.9,Work,Polyester,Floral,Button Fly,Comfortable,Three Fourth Sleeves,Knee Length,N/A,Round Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
545,Printed Round Neck Fit and Flare Knee Length Dress (S),"2,494","1,247",4.1,4.1,Casual,Polyester,Printed,Pull On,Normal,Balloon Sleeve,Knee Length,N/A,Round Neck,Sera Group,India
546,Navy Blue And White Striped Full Sleeves Cotton Shirt,"2,195","1,976",4.7,4.7,Casual,Cotton,Stripes,Button Fly,Oversized,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
547,Gemma Lavender Ombre Ruched Mesh Corset Dress,"9,590","9,590",5.0,5.0,Party,Net,Ruffled,Tie-Ups,Semi-Fit,Sleeveless,Mini,N/A,Strapless/Tube,Lea Clothing Llp,India
548,White Round Neck Pleated Top,"1,795","1,257",4.2,4.2,Work,Cotton,Solid/Plain,Button Fly,Regular,Three Fourth Sleeves,Regular,N/A,Keyhole Neck,Fablestreet Lifestyle Solutions Pvt Ltd,India
549,Sardinia Cocktail Dress,"6,999","6,999",4.2,4.2,Party,Knitted,Solid/Plain,Zip,Semi-Fit,Balloon Sleeve,Maxi,N/A,Plunging Neck,Fett Brands Pvt Ltd.,India
550,Women White Cotton Poplin Oversized Shirt,"1,849",962,4.1,4.1,Party,Cotton,Solid/Plain,Button Fly,Oversized,Full Sleeves,N/A,N/A,Collar Neck,Mensa Brands Technologies Pvt. Limited_parent,India
551,Red Solid Batwing Sleeves Shirt,"1,699",765,4.0,4.0,Casual,Polyester,Solid/Plain,Button Fly,Comfortable,Balloon Sleeve,Shirts,N/A,Collar Neck,Khullar Appearls_parent,India
552,Women's Chambray Printed Blazer With Pant Set,"2,949","1,799",4.4,4.4,Festive,Cotton,Printed,Pull On,Comfortable,Half Sleeves,N/A,N/A,Sweetheart,Pannkh Brands Pvt Ltd.,India
553,Revel Shaping Hr Blue Skinny Fit High Rise Jeans,"4,899","4,410",4.3,4.3,Casual,Blended Fabric,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Levi Strauss (india) Private Limited_parent,China
554,Brown Solid High Waist Wide Leg Trousers,"4,495","3,596",4.5,4.5,Casual,Crepe,Solid/Plain,Zipper,Comfortable,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
555,Blue Floral Printed Fit And Flare Midi Dress,"3,795","2,847",4.1,4.1,Casual,Viscose,Floral,Slip On,Comfortable,Sleeveless,Midi,N/A,Sweetheart,Nykaa Fashion Pvt Ltd,India
556,Navy Tropical Ruched Dress,"2,200","2,200",3.7,3.7,Casual,Crepe,Printed,Zip,Regular,Half Sleeves,Midi,N/A,Sweetheart,High Street Essentials Private Limited_mp,India
557,Red Satin Wrap Style Maxi Dress,"3,999","2,000",4.6,4.6,Party,Satin,Solid/Plain,Zipper,Asymmetrical,Puff Sleeves,Gown,N/A,V-Neck,Mish Desings Limited,India
558,Colorblock Wrap Maxi Dress,"2,499","2,000",4.5,4.5,Casual,Polyester,Colorblock,Pull On,Normal,Full Sleeves,Gown,N/A,V-Neck,Premiere Retail Trading Private Limited,China
559,Women Printed Multi-Color Shirt,"2,799","2,520",5.0,5.0,Casual,Polyester,Printed,Button Fly,Oversized,Balloon Sleeve,Shirts,N/A,Collar Neck,Only Retail Private Limited_parent,India
560,Black Mesh Top,800,640,4.0,4.0,Party,Polyester,Solid/Plain,Slip On,Skinny,Sleeveless,Crop Tops,N/A,Shoulder Straps,House Of Pathona Pvt Ltd,India
561,Livin Air Bootcut Pants - Black,"2,895","2,085",4.6,4.6,Work,Viscose,Solid/Plain,Pull On,Comfortable,N/A,N/A,High Waist,N/A,Fablestreet Lifestyle Solutions Pvt Ltd,India
562,Sheer Cut Out Bodycon Dress,"3,190","2,552",3.5,3.5,Party,Polyester,Embellished/Sequined,Zip,Fitted,Full Sleeves,Mini,N/A,Round Neck,Samshek Fashion Pvt Ltd_mp,India
563,Essentials Women's Sweat Pants,"2,499","1,249",3.6,3.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Puma Sports India Pvt. Ltd -parent,Bangladesh
